SEQ,BRCODE,BRACRO,REGION,BRNAME,NEWBRSTN,OLDBRSTN,AREA,OLDNAME,ORDERING
1990,2206,LTR,NOL 1,BENGUET-LA TRINIDAD,12008-004-9,12008-004-9,NOL,BENGUET-LA TRINIDAD,23
1992,2208,MSY,NOL 1,BAGUIO CITY-MAGSAYSAY AVE.,12008-002-3,12008-002-3,NOL,BAGUIO CITY-MAGSAYSAY AVE.,23
1994,2210,SFU,NOL 1,LA UNION-SAN FERNANDO-QUEZON AVE.,15008-003-5,15008-003-5,NOL,LA UNION-SAN FERNANDO-QUEZON AVE.,23
2000,2231,LOG,NOL 2,LAOAG CITY-J.P. RIZAL,17008-002-8,17008-002-8,NOL,LAOAG CITY-J.P. RIZAL,24
2001,2232,LAO,NOL 2,LAOAG CITY-CASTRO,17008-006-0,17008-006-0,NOL,LAOAG CITY-CASTRO,24
2002,2233,NVC,NOL 2,ILOCOS SUR-NARVACAN,32008-002-7,32008-002-7,NOL,ILOCOS SUR-NARVACAN,24
2004,2235,VIG,NOL 2,VIGAN CITY-FLORENTINO,32008-001-4,32008-001-4,NOL,VIGAN CITY-FLORENTINO,24
2006,2251,BMB,NOL 3,NUEVA VIZCAYA-BAYOMBONG,26008-007-7,26008-007-7,NOL,NUEVA VIZCAYA-BAYOMBONG,25
2008,2253,CAB,NOL 8,CABANATUAN-CENTRAL MARKET,13008-001-3,13008-001-3,NOL,CABANATUAN-CENTRAL MARKET,30
2013,2258,LGW,NOL 3,IFUGAO-LAGAWE,26008-008-0,26008-008-0,NOL,IFUGAO-LAGAWE,25
2014,2259,MNZ,NOL 8,NUEVA ECIJA-MUÑOZ,13008-006-8,13008-006-8,NOL,NUEVA ECIJA-MUÑOZ,30
2016,2261,STN,NOL 8,CABANATUAN-DICARMA,13008-012-3,13008-012-3,NOL,CABANATUAN-DICARMA,30
2020,2276,API,NOL 3,CAGAYAN-APARRI,23008-002-3,23008-002-3,NOL,CAGAYAN-APARRI,25
2022,2278,CWY,NOL 3,ISABELA-CAUAYAN,26008-001-9,26008-001-9,NOL,ISABELA-CAUAYAN,25
2023,2279,CAI,NOL 3,ISABELA-CAUAYAN-MAHARLIKA HI-WAY,26008-009-3,26008-009-3,NOL,ISABELA-CAUAYAN-MAHARLIKA HI-WAY,25
2025,2281,LGN,NOL 3,ISABELA-ILAGAN,26008-002-2,26008-002-2,NOL,ISABELA-ILAGAN,25
2027,2283,SNM,NOL 3,CAGAYAN-SANCHEZ MIRA,23008-005-2,23008-005-2,NOL,CAGAYAN-SANCHEZ MIRA,25
2028,2284,STG,NOL 3,ISABELA-SANTIAGO-MAHARLIKA,26008-003-5,26008-003-5,NOL,ISABELA-SANTIAGO-MAHARLIKA,25
2029,2285,SIS,NOL 3,SANTIAGO-PANGANIBAN,26008-010-3,26008-010-3,NOL,SANTIAGO-PANGANIBAN,25
2030,2286,TBK,NOL 3,KALINGA-TABUK,23008-004-9,23008-004-9,NOL,KALINGA-TABUK,25
2031,2287,TUO,NOL 3,CAGAYAN-TUAO,23008-003-6,23008-003-6,NOL,CAGAYAN-TUAO,25
2032,2288,TGR,NOL 3,CAGAYAN-TUGUEGARAO-BONIFACIO,23008-001-0,23008-001-0,NOL,CAGAYAN-TUGUEGARAO-BONIFACIO,25
2034,2401,BLY,SOL 1,BATANGAS-BALAYAN,19008-003-7,19008-003-7,SOL,BATANGAS-BALAYAN,31
2035,2402,BTS,SOL 1,BATANGAS CITY-P. BURGOS,19008-001-1,19008-001-1,SOL,BATANGAS CITY-P. BURGOS,31
2038,2405,BAU,SOL 1,BATANGAS-BAUAN-J.P. RIZAL,19008-010-5,19008-010-5,SOL,BATANGAS-BAUAN-J.P. RIZAL,31
2040,2407,LMR,SOL 1,BATANGAS-LEMERY,19008-004-0,19008-004-0,SOL,BATANGAS-LEMERY,31
2042,2409,LIP,SOL 1,LIPA CITY-AYALA HIGHWAY,19008-008-2,19008-008-2,SOL,LIPA CITY-AYALA HIGHWAY,31
2045,2412,NSB,SOL 1,BATANGAS-NASUGBU,19008-007-9,19008-007-9,SOL,BATANGAS-NASUGBU,31
2047,2414,PML,SOL 7,OR. MINDORO-PINAMALAYAN,38008-002-5,38008-002-5,SOL,OR. MINDORO-PINAMALAYAN,37
2049,2426,BQR,SOL 2,BACOOR CITY-AGUINALDO HI-WAY,41008-004-7,41008-004-7,SOL,BACOOR CITY-AGUINALDO HI-WAY,32
2052,2429,CDM,SOL 2,DASMARIÑAS-AGUINALDO HI-WAY,41008-016-0,41008-016-0,SOL,DASMARIÑAS-AGUINALDO HI-WAY,32
2053,2430,CVT,SOL 2,CAVITE-GEN. TRIAS,41008-013-1,41008-013-1,SOL,CAVITE-GEN. TRIAS,32
2389,8010,HZK,HEAD OFFICE,KALOOKAN LOANS & SERVICE CENTER,00008-801-0,00008-801-0,HEAD OFFICE,KALOOKAN LOANS & SERVICE CENTER,1
2395,8016,HZB,HEAD OFFICE,SOUTH LUZON 1 (BATANGAS) LOANS SRVC CTR,00008-801-6,00008-801-6,HEAD OFFICE,SOUTH LUZON 1 (BATANGAS) LOANS SRVC CTR,1
2399,8020,HZJ,HEAD OFFICE,CEBU LOANS SERVICE CENTER,00008-802-0,00008-802-0,HEAD OFFICE,CEBU LOANS SERVICE CENTER,1
2405,8026,HZZ,HEAD OFFICE,SOUTH MINDANAO(DAVAO)LOANS SERVICE CTR,00008-802-6,00008-802-6,HEAD OFFICE,SOUTH MINDANAO(DAVAO)LOANS SERVICE CTR,1
