SEQ,BRCODE,BRACRO,REGION,BRNAME,NEWBRSTN,OLDBRSTN,AREA,OLDNAME,ORDERING
1644,0585,HBU,CASH CENTER,BUTUAN CASH CENTER,00008-058-5,00008-058-5,CASH CENTER,BUTUAN CASH CENTER,52
1645,0586,HUG,CASH CENTER,CAGAYAN DE ORO CASH CENTER,00008-058-6,00008-058-6,CASH CENTER,CAGAYAN DE ORO CASH CENTER,52
1646,0587,HUO,CASH CENTER,COTABATO CASH CENTER,00008-058-7,00008-058-7,CASH CENTER,COTABATO CASH CENTER,52
1648,0589,HIU,CASH CENTER,ILIGAN CASH CENTER,00008-058-9,00008-058-9,CASH CENTER,ILIGAN CASH CENTER,52
1649,0590,HOU,CASH CENTER,OZAMIS CASH CENTER,00008-059-0,00008-059-0,CASH CENTER,OZAMIS CASH CENTER,52
1650,0591,HUZ,CASH CENTER,ZAMBOANGA CASH CENTER,00008-059-1,00008-059-1,CASH CENTER,ZAMBOANGA CASH CENTER,52
1651,0802,HCL,HEADOFFICE,CONSUMER LOANS OPERATIONS DEPARTMENT,01008-975-2,01008-975-2,HEADOFFICE,CONSUMER LOANS OPERATIONS DEPARTMENT,1
1652,0803,HOL,HEADOFFICE,CORPORATE LOANS OPERATIONS DEPARTMENT,01008-976-5,01008-976-5,HEADOFFICE,CORPORATE LOANS OPERATIONS DEPARTMENT,1
1653,1001,GLV,NMM-1,VALENZUELA-GEN. T. DE LEON,01008-262-3,01008-262-3,NMMR,VALENZUELA-GEN. T. DE LEON,2
1654,1002,GOV,NMM-1,MALABON-GOV. PASCUAL,01008-209-2,01008-209-2,NMMR,MALABON-GOV. PASCUAL,2
1655,1003,MLB,CMM-1,MALABON-F. SEVILLA,01008-046-3,01008-046-3,CMMR,MALABON-F. SEVILLA,9
1656,1004,MAL,NMM-1,MALABON-RIZAL AVE.,01008-127-1,01008-127-1,NMMR,MALABON-RIZAL AVE.,2
1657,1005,MLY,NMM-1,VALENZUELA-MALINTA,01008-212-8,01008-212-8,NMMR,VALENZUELA-MALINTA,2
1658,1006,MRL,NMM-1,MALABON-POTRERO,01008-116-1,01008-116-1,NMMR,MALABON-POTRERO,2
1659,1007,NAV,NMM-1,NAVOTAS-M. NAVAL,01008-141-7,01008-141-7,NMMR,NAVOTAS-M. NAVAL,2
1660,1008,NFP,CMM-1,NAVOTAS-FISH PORT to 1007,01008-267-8,01008-267-8,CMMR,NAVOTAS-FISH PORT to 1007,9
1661,1009,PDB,NMM-1,VALENZUELA-PASO DE BLAS,01008-165-3,01008-165-3,NMMR,VALENZUELA-PASO DE BLAS,2
1662,1010,VLZ,NMM-1,VALENZUELA-KARUHATAN,01008-030-8,01008-030-8,NMMR,VALENZUELA-KARUHATAN,2
1663,1011,VAL,NMM-1,VALENZUELA-MACARTHUR,01008-137-8,01008-137-8,NMMR,VALENZUELA-MACARTHUR,2
1664,1026,ABO,NMM-2,Q.C.-A. BONIFACIO,01008-168-2,01008-168-2,NMMR,Q.C.-A. BONIFACIO,3
1665,1027,CLK,NMM-1,CALOOCAN-SANGANDAAN,01008-003-6,01008-003-6,NMMR,CALOOCAN-SANGANDAAN,2
1666,1028,CAL,NMM-1,CALOOCAN-RIZAL AVE. EXT.,01008-122-6,01008-122-6,NMMR,CALOOCAN-RIZAL AVE. EXT.,2
1667,1029,CAM,NMM-1,CALOOCAN-A. MABINI,01008-114-5,01008-114-5,NMMR,CALOOCAN-A. MABINI,2
1668,1030,EBK,NMM-2,CALOOCAN-EDSA BALINTAWAK,01008-179-2,01008-179-2,NMMR,CALOOCAN-EDSA BALINTAWAK,3
1669,1031,EKA,CMM-1,CALOOCAN-MACARTHUR HIGHWAY,01008-194-1,01008-194-1,CMMR,CALOOCAN-MACARTHUR HIGHWAY,9
1670,1032,GPK,NMM-1,CALOOCAN-GRACE PARK-10TH AVE.,01008-085-8,01008-085-8,NMMR,CALOOCAN-GRACE PARK-10TH AVE.,2
1671,1033,GPA,NMM-1,CALOOCAN-GRACE PARK-3RD AVE.,01008-263-6,01008-263-6,NMMR,CALOOCAN-GRACE PARK-3RD AVE.,2
1672,1034,GRP,NMM-1,CALOOCAN-GRACE PARK-7TH AVE.,01008-253-9,01008-253-9,NMMR,CALOOCAN-GRACE PARK-7TH AVE.,2
1673,1035,MNM,NMM-1,CALOOCAN-MONUMENTO,01008-080-3,01008-080-3,NMMR,CALOOCAN-MONUMENTO,2
1674,1036,SAM,NMM-2,CALOOCAN-SAMSON ROAD,01008-249-0,01008-249-0,NMMR,CALOOCAN-SAMSON ROAD,3
1675,1051,DEL,NMM-2,Q.C.-DEL MONTE,01008-149-1,01008-149-1,NMMR,Q.C.-DEL MONTE,3
1676,1052,DLT,NMM-2,Q.C.-QUEZON AVE.,01008-078-0,01008-078-0,NMMR,Q.C.-QUEZON AVE.,3
1677,1053,EDR,NMM-2,Q.C.-EDSA ROOSEVELT,01008-088-7,01008-088-7,NMMR,Q.C.-EDSA ROOSEVELT,3
1678,1054,ABB,NMM-2,Q.C.-EDSA-ETON CENTRIS,01008-233-5,01008-233-5,NMMR,Q.C.-EDSA-ETON CENTRIS,3
1679,1055,FSC,NMM-2,Q.C.-FRISCO,01008-093-9,01008-093-9,NMMR,Q.C.-FRISCO,3
1680,1056,SDM,NMM-2,Q.C.-DEL MONTE-FRISCO,01008-199-6,01008-199-6,NMMR,Q.C.-DEL MONTE-FRISCO,3
1681,1057,GRV,NMM-2,Q.C.-GRACE VILLAGE,01008-252-6,01008-252-6,NMMR,Q.C.-GRACE VILLAGE,3
1682,1058,NIA,NMM-1,Q.C.-NIA to 1054,01008-017-5,01008-017-5,NMMR,Q.C.-NIA to 1054,2
1683,1059,QQC,NMM-6,Q.C.-QUADRANGLE,01008-156-9,01008-156-9,NMMR,Q.C.-QUADRANGLE,7
1684,1060,RSV,NMM-2,Q.C.-ROOSEVELT AVE.,01008-135-2,01008-135-2,NMMR,Q.C.-ROOSEVELT AVE.,3
1685,1061,WSA,NMM-6,Q.C.-WEST AVENUE,01008-031-1,01008-031-1,NMMR,Q.C.-WEST AVENUE,7
1687,1076,CGR,NMM-4,Q.C.-VISAYAS AVENUE,01008-224-1,01008-224-1,NMMR,Q.C.-VISAYAS AVENUE,5
1688,1077,MAT,NMM-3,Q.C.-MATALINO,01008-198-3,01008-198-3,NMMR,Q.C.-MATALINO,4
1689,1078,MND,NMM-4,Q.C.-MINDANAO AVENUE,01008-152-7,01008-152-7,NMMR,Q.C.-MINDANAO AVENUE,5
1690,1079,MWS,NMM-3,Q.C.-MWSS,01008-042-1,01008-042-1,NMMR,Q.C.-MWSS,4
1691,1080,NFA,NMM-3,Q.C.-NFA,01008-038-2,01008-038-2,NMMR,Q.C.-NFA,4
1692,1081,NCP,NMM-3,Q.C.-NPC,01008-049-2,01008-049-2,NMMR,Q.C.-NPC,4
1693,1082,PJE,NMM-3,Q.C.-PROJECT 8,01008-058-6,01008-058-6,NMMR,Q.C.-PROJECT 8,4
1694,1083,QCC,NMM-3,Q.C.-ELLIPTICAL ROAD,01008-012-0,01008-012-0,NMMR,Q.C.-ELLIPTICAL ROAD,4
1695,1084,SSS,NMM-3,Q.C.-SSS DILIMAN,01008-026-9,01008-026-9,NMMR,Q.C.-SSS DILIMAN,4
1696,1085,TDS,NMM-4,Q.C.-TANDANG SORA,01008-102-2,01008-102-2,NMMR,Q.C.-TANDANG SORA,5
1697,1086,UPC,NMM-3,Q.C.-UP CAMPUS,01008-029-8,01008-029-8,NMMR,Q.C.-UP CAMPUS,4
1698,1087,COM,NMM-4,Q.C.-VISAYAS CONGRESSIONAL,01008-219-9,01008-219-9,NMMR,Q.C.-VISAYAS CONGRESSIONAL,5
1699,1101,BPB,NMM-4,Q.C.-BATASANG PAMBANSA,01008-035-3,01008-035-3,NMMR,Q.C.-BATASANG PAMBANSA,5
